Country,Area,Months,Year,temperature,MonthCode
IND,India,February,1961,-1.413,2
IND,India,March,1961,0.499,3
IND,India,April,1961,0.026,4
IND,India,May,1961,-0.144,5
IND,India,June,1961,-0.589,6
IND,India,July,1961,-0.293,7
IND,India,August,1961,0.065,8
IND,India,September,1961,-0.348,9
IND,India,October,1961,-0.78,10
IND,India,November,1961,-1.021,11
IND,India,December,1961,-1.735,12
INA,Indonesia,January,1961,-0.062,1
INA,Indonesia,February,1961,0.152,2
INA,Indonesia,March,1961,0.198,3
INA,Indonesia,April,1961,0.064,4
INA,Indonesia,May,1961,-0.003,5
INA,Indonesia,June,1961,-0.412,6
INA,Indonesia,July,1961,-0.258,7
INA,Indonesia,August,1961,-0.364,8
INA,Indonesia,September,1961,-0.295,9
INA,Indonesia,October,1961,-0.003,10
INA,Indonesia,November,1961,0.148,11
INA,Indonesia,December,1961,0.191,12
IRI,Iran,January,1961,0.434,1
IRI,Iran,February,1961,-0.63,2
IRI,Iran,March,1961,-0.479,3
IRI,Iran,April,1961,-1.345,4
IRI,Iran,May,1961,1.233,5
IRI,Iran,June,1961,0.189,6
IRI,Iran,July,1961,0.47,7
IRI,Iran,August,1961,-0.076,8
IRI,Iran,September,1961,0.166,9
IRI,Iran,October,1961,-0.761,10
IRI,Iran,November,1961,-0.098,11
IRI,Iran,December,1961,1.671,12
IRQ,Iraq,January,1961,0.146,1
IRQ,Iraq,February,1961,-0.539,2
IRQ,Iraq,March,1961,-1.949,3
IRQ,Iraq,April,1961,-0.366,4
IRQ,Iraq,May,1961,0.987,5
IRQ,Iraq,June,1961,0.635,6
IRQ,Iraq,July,1961,0.269,7
IRQ,Iraq,August,1961,0.775,8
IRQ,Iraq,September,1961,-2.145,9
IRQ,Iraq,October,1961,-0.415,10
IRQ,Iraq,November,1961,-0.768,11
IRQ,Iraq,December,1961,1.144,12
IRL,Ireland,January,1961,0.033,1
IRL,Ireland,February,1961,2.883,2
IRL,Ireland,March,1961,2.437,3
IRL,Ireland,April,1961,1.325,4
IRL,Ireland,May,1961,0.105,5
IRL,Ireland,June,1961,-0.219,6
IRL,Ireland,July,1961,-0.786,7
IRL,Ireland,August,1961,-0.42,8
IRL,Ireland,September,1961,0.445,9
IRL,Ireland,October,1961,-0.54,10
IRL,Ireland,November,1961,-0.428,11
IRL,Ireland,December,1961,-2.015,12
ISR,Israel,January,1961,-0.055,1
